Test Instrument:,Cary 5000 (2223)
Part No.:,570FS10-25
Lot No.:,55863
Serial No.:,X242-86
A.O.I. (deg):,0  (RANDOM Pol.)
Temp. (C.):,23
Wavelength (nm),Tx. (%)
550.000000000,0.002867429
550.099975600,0.002835138
550.200012200,0.002827106
550.299987800,0.003029932
550.400024400,0.003427736
550.500000000,0.002919418
550.599975600,0.003455358
550.700012200,0.003269246
550.799987800,0.003842332
550.900024400,0.003513490
551.000000000,0.003919322
551.099975600,0.003910891
551.200012200,0.003605992
551.299987800,0.004495470
551.400024400,0.004554626
551.500000000,0.004103993
551.599975600,0.004824267
551.700012200,0.004757549
551.799987800,0.005022274
551.900024400,0.005356716
552.000000000,0.004995182
552.099975600,0.004878116
552.200012200,0.005693034
552.299987800,0.006307444
552.400024400,0.006018043
552.500000000,0.006198064
552.599975600,0.006283267
552.700012200,0.005849019
552.799987800,0.006873812
552.900024400,0.007119437
553.000000000,0.006939342
553.099975600,0.007351913
553.200012200,0.007083924
553.299987800,0.008138672
553.400024400,0.008585266
553.500000000,0.008985077
553.599975600,0.008988932
553.700012200,0.009320597
553.799987800,0.009119784
553.900024400,0.009956881
554.000000000,0.009413333
554.099975600,0.010005835
554.200012200,0.010879167
554.299987800,0.011038765
554.400024400,0.010922343
554.500000000,0.011762003
554.599975600,0.012708848
554.700012200,0.012533551
554.799987800,0.012533879
554.900024400,0.012776385
555.000000000,0.014120423
555.099975600,0.014023684
555.200012200,0.014083351
555.299987800,0.015480224
555.400024400,0.015770573
555.500000000,0.016134575
555.599975600,0.016768193
555.700012200,0.017402003
555.799987800,0.018956931
555.900024400,0.018877290
556.000000000,0.019310920
556.099975600,0.020299209
556.200012200,0.020786311
556.299987800,0.021020092
556.400024400,0.024085322
556.500000000,0.023483215
556.599975600,0.024953336
556.700012200,0.025773710
556.799987800,0.026543900
556.900024400,0.028627023
557.000000000,0.028478732
557.099975600,0.029811144
557.200012200,0.031532876
557.299987800,0.032747731
557.400024400,0.034503262
557.500000000,0.035035465
557.599975600,0.036762029
557.700012200,0.038197681
557.799987800,0.039431322
557.900024400,0.042112935
558.000000000,0.044065516
558.099975600,0.046909630
558.200012200,0.047649343
558.299987800,0.050608277
558.400024400,0.052078202
558.500000000,0.054030597
558.599975600,0.057192974
558.700012200,0.060100075
558.799987800,0.061165478
558.900024400,0.066740468
559.000000000,0.068501249
