Test Instrument:,Cary 5E (1336)
Part No.:,720FS10-25
Lot No.:,52953
Serial No.:,V149-83
A.O.I. (deg):,0  (RANDOM Pol.)
Temp. (C.):,23
Wavelength (nm),Tx. (%)
700.000000000,0.005715429
700.099975600,0.005186446
700.200012200,0.007097889
700.299987800,0.007607112
700.400024400,0.007574418
700.500000000,0.007775889
700.599975600,0.007534099
700.700012200,0.007358966
700.799987800,0.007234252
700.900024400,0.007145568
701.000000000,0.007199396
701.099975600,0.007356783
701.200012200,0.007616719
701.299987800,0.007963016
701.400024400,0.008360064
701.500000000,0.008785336
701.599975600,0.009214772
701.700012200,0.009631824
701.799987800,0.010029258
701.900024400,0.010405948
702.000000000,0.010767267
702.099975600,0.011122084
702.200012200,0.011480122
702.299987800,0.011849778
702.400024400,0.012235957
702.500000000,0.012638999
702.599975600,0.013054535
702.700012200,0.013474378
702.799987800,0.013888425
702.900024400,0.014287182
703.000000000,0.014664512
703.099975600,0.015020027
703.200012200,0.015360579
703.299987800,0.015700417
703.400024400,0.016059811
703.500000000,0.016462240
703.599975600,0.016930606
703.700012200,0.017483151
703.799987800,0.018129925
703.900024400,0.018870582
704.000000000,0.019694067
704.099975600,0.020580347
704.200012200,0.021503918
704.299987800,0.022438408
704.400024400,0.023361338
704.500000000,0.024258063
704.599975600,0.025124089
704.700012200,0.025965347
704.799987800,0.026796433
704.900024400,0.027637304
705.000000000,0.028509201
705.099975600,0.029430739
705.200012200,0.030414989
705.299987800,0.031468124
705.400024400,0.032589825
705.500000000,0.033775262
705.599975600,0.035018075
705.700012200,0.036313648
705.799987800,0.037661868
705.900024400,0.039068740
706.000000000,0.040546464
706.099975600,0.042111962
706.200012200,0.043784183
706.299987800,0.045580813
706.400024400,0.047515148
706.500000000,0.049593874
706.599975600,0.051816290
706.700012200,0.054175157
706.799987800,0.056658984
706.900024400,0.059255221
707.000000000,0.061953604
707.099975600,0.064748928
707.200012200,0.067642648
707.299987800,0.070643095
707.400024400,0.073764403
707.500000000,0.077024578
707.599975600,0.080443280
707.700012200,0.084039878
707.799987800,0.087832148
707.900024400,0.091835750
708.000000000,0.096064396
708.099975600,0.100530480
708.200012200,0.105245945
708.299987800,0.110223271
708.400024400,0.115476553
708.500000000,0.121022728
708.599975600,0.126882915
708.700012200,0.133083722
708.799987800,0.139658127
708.900024400,0.146645506
709.000000000,0.154090365
709.099975600,0.162039703
709.200012200,0.170539323
709.299987800,0.179629914
709.400024400,0.189344067
709.500000000,0.199705388
709.599975600,0.210730496
709.700012200,0.222434015
709.799987800,0.234835761
709.900024400,0.247968585
710.000000000,0.261884894
710.099975600,0.276660013
710.200012200,0.292391194
710.299987800,0.309192193
710.400024400,0.327184546
710.500000000,0.346487695
710.599975600,0.367210663
710.700012200,0.389447754
710.799987800,0.413279966
710.900024400,0.438782393
711.000000000,0.466036404
711.099975600,0.495144054
711.200012200,0.526241451
711.299987800,0.559507861
711.400024400,0.595168202
711.500000000,0.633488197
711.599975600,0.674763322
711.700012200,0.719304559
711.799987800,0.767425191
711.900024400,0.819433210
712.000000000,0.875633108
712.099975600,0.936338871
712.200012200,1.001897310
712.299987800,1.072717877
712.400024400,1.149302680
712.500000000,1.232269116
712.599975600,1.322358059
712.700012200,1.420423097
712.799987800,1.527400563
712.900024400,1.644265488
713.000000000,1.771983720
713.099975600,1.911474121
713.200012200,2.063595564
713.299987800,2.229170639
713.400024400,2.409051570
713.500000000,2.604224571
713.599975600,2.815938693
713.700012200,3.045836279
713.799987800,3.296057087
713.900024400,3.569288779
714.000000000,3.868743837
714.099975600,4.198056440
714.200012200,4.561110288
714.299987800,4.961826353
714.400024400,5.403953801
714.500000000,5.890913792
714.599975600,6.425741587
714.700012200,7.011156418
714.799987800,7.649762545
714.900024400,8.344353124
715.000000000,9.098257257
715.099975600,9.915647195
715.200012200,10.801713737
715.299987800,11.762627913
715.400024400,12.805236830
715.500000000,13.936487604
715.599975600,15.162627849
715.700012200,16.488283517
715.799987800,17.915553218
715.900024400,19.443272377
716.000000000,21.066584717
716.099975600,22.776912898
716.200012200,24.562351612
716.299987800,26.408428201
716.400024400,28.299104527
716.500000000,30.217845782
716.599975600,32.148569677
716.700012200,34.076317557
716.799987800,35.987552973
716.900024400,37.870079428
717.000000000,39.712657781
717.099975600,41.504473990
717.200012200,43.234642259
717.299987800,44.891918228
717.400024400,46.464743812
717.500000000,47.941662106
717.599975600,49.312047753
717.700012200,50.567017744
717.799987800,51.700338984
717.900024400,52.709143109
718.000000000,53.594296255
718.099975600,54.360341595
718.200012200,55.015018119
718.299987800,55.568439964
718.400024400,56.032079103
718.500000000,56.417719117
718.599975600,56.736536701
718.700012200,56.998426556
718.799987800,57.211626548
718.900024400,57.382638323
719.000000000,57.516387514
719.099975600,57.616536645
719.200012200,57.685856261
719.299987800,57.726573190
719.400024400,57.740642199
719.500000000,57.729919450
719.599975600,57.696244325
719.700012200,57.641454219
719.799987800,57.567362477
719.900024400,57.475724352
720.000000000,57.368204372
720.099975600,57.246346567
720.200012200,57.111541750
720.299987800,56.964986119
720.400024400,56.807632383
720.500000000,56.640145019
720.599975600,56.462880079
720.700012200,56.275912511
720.799987800,56.079127366
720.900024400,55.872376273
721.000000000,55.655680862
721.099975600,55.429446735
721.200012200,55.194641381
721.299987800,54.952891620
721.400024400,54.706471563
721.500000000,54.458177349
721.599975600,54.211113152
721.700012200,53.968436196
721.799987800,53.733119471
721.900024400,53.507786055
722.000000000,53.294649276
722.099975600,53.095563883
722.200012200,52.912163170
722.299987800,52.746034296
722.400024400,52.598875098
722.500000000,52.472582839
722.599975600,52.369245844
722.700012200,52.291036540
722.799987800,52.240030587
722.900024400,52.217994004
723.000000000,52.226183764
723.099975600,52.265196843
723.200012200,52.334882036
723.299987800,52.434304890
723.400024400,52.561736448
723.500000000,52.714627363
723.599975600,52.889533162
723.700012200,53.081972592
723.799987800,53.286224282
723.900024400,53.495090260
724.000000000,53.699671345
724.099975600,53.889204522
724.200012200,54.051005051
724.299987800,54.170539256
724.400024400,54.231633569
724.500000000,54.216808147
724.599975600,54.107714675
724.700012200,53.885659648
724.799987800,53.532204380
724.900024400,53.029844967
725.000000000,52.362781874
725.099975600,51.517782756
725.200012200,50.485120622
725.299987800,49.259534910
725.400024400,47.841123630
725.500000000,46.236042508
725.599975600,44.456874427
725.700012200,42.522548751
725.799987800,40.457737556
725.900024400,38.291728490
726.000000000,36.056858251
726.099975600,33.786668223
726.200012200,31.513996497
726.299987800,29.269234936
726.400024400,27.078951677
726.500000000,24.965013865
726.599975600,22.944256998
726.700012200,21.028655567
726.799987800,19.225874364
726.900024400,17.540035989
727.000000000,15.972534243
727.099975600,14.522752620
727.200012200,13.188601190
727.299987800,11.966848250
727.400024400,10.853279412
727.500000000,9.842753944
727.599975600,8.929240218
727.700012200,8.105899996
727.799987800,7.365261951
727.900024400,6.699488381
728.000000000,6.100706195
728.099975600,5.561351863
728.200012200,5.074474248
728.299987800,4.633948468
728.400024400,4.234573918
728.500000000,3.872054140
728.599975600,3.542878814
728.700012200,3.244143814
728.799987800,2.973351473
728.900024400,2.728229916
729.000000000,2.506599756
729.099975600,2.306302003
729.200012200,2.125186349
729.299987800,1.961147061
729.400024400,1.812186485
729.500000000,1.676484204
729.599975600,1.552452630
729.700012200,1.438765976
729.799987800,1.334357323
