ID,East ,North
1,700326.45,5697272.35
3,700340.55,5697262.2
4,700359.1,5697258.7
6,700385.5,5697251.15
7,700438.45,5697255.3
11,700477.85,5697239
13,700482.4,5697218.5
19,700431,5697220
20,700396.6,5697231.2
22,700343.95,5697230.55
26,700303.05,5697220.8
27,700337.9,5697207.3
28,700362.4,5697197.2
29,700408.05,5697191.55
32,700435.5,5697185.55
34,700464.65,5697183.35
39,700470.95,5697169.3
40,700452.8,5697156.9
42,700434,5697165.9
43,700404.35,5697166.45
44,700373.9,5697165.6
46,700345.7,5697171.3
48,700330.5,5697196.7
51,700292.85,5697189.8
52,700325.6,5697151
53,700342.95,5697152.6
57,700353.05,5697160.7
58,700361.15,5697143.3
60,700368.8,5697135.25
61,700379.35,5697151.45
62,700393.15,5697136.4
64,700443.1,5697121.3
66,700451.15,5697124.5
68,700462.55,5697122
69,700447.4,5697106
72,700431.85,5697118.15
75,700410.9,5697123.2
76,700392.7,5697117.2
81,700379.1,5697117.35
82,700354.45,5697118.65
83,700330.25,5697119.8
86,700326.1,5697135.95
88,700307.3,5697130.65
91,700277.95,5697105.85
92,700299.5,5697112.15
93,700344.7,5697099.3
94,700365.3,5697102.55
96,700380.8,5697103.15
97,700426.5,5697081.5
100,700445.75,5697084.45
